Variant number: 49,  Outcomes: White win: 29%,  Draw: 48%,  Black win: 23%,  Move 5 Entropy: 9.8,  Move 10 Entropy: 14.9,  Move 20 Entropy: 23.2
Variant number: 50,  Outcomes: White win: 29%,  Draw: 51%,  Black win: 21%,  Move 5 Entropy: 10.7,  Move 10 Entropy: 14.3,  Move 20 Entropy: 25.2
Variant number: 51,  Outcomes: White win: 28%,  Draw: 52%,  Black win: 20%,  Move 5 Entropy: 11.0,  Move 10 Entropy: 15.4,  Move 20 Entropy: 25.1
Variant number: 52,  Outcomes: White win: 30%,  Draw: 48%,  Black win: 23%,  Move 5 Entropy: 7.9,  Move 10 Entropy: 15.1,  Move 20 Entropy: 22.0
Variant number: 53,  Outcomes: White win: 28%,  Draw: 51%,  Black win: 21%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 13.9,  Move 20 Entropy: 27.5
Variant number: 54,  Outcomes: White win: 28%,  Draw: 55%,  Black win: 17%,  Move 5 Entropy: 8.6,  Move 10 Entropy: 12.4,  Move 20 Entropy: 19.3
Variant number: 55,  Outcomes: White win: 28%,  Draw: 51%,  Black win: 21%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 13.0,  Move 20 Entropy: 23.7
Variant number: 56,  Outcomes: White win: 33%,  Draw: 45%,  Black win: 22%,  Move 5 Entropy: 7.8,  Move 10 Entropy: 12.1,  Move 20 Entropy: 17.4
Variant number: 57,  Outcomes: White win: 27%,  Draw: 52%,  Black win: 21%,  Move 5 Entropy: 10.0,  Move 10 Entropy: 14.1,  Move 20 Entropy: 27.2
Variant number: 58,  Outcomes: White win: 26%,  Draw: 55%,  Black win: 18%,  Move 5 Entropy: 10.1,  Move 10 Entropy: 12.5,  Move 20 Entropy: 21.1
Variant number: 59,  Outcomes: White win: 30%,  Draw: 49%,  Black win: 21%,  Move 5 Entropy: 6.0,  Move 10 Entropy: 7.9,  Move 20 Entropy: 18.5
Variant number: 60,  Outcomes: White win: 30%,  Draw: 44%,  Black win: 26%,  Move 5 Entropy: 9.9,  Move 10 Entropy: 14.1,  Move 20 Entropy: 21.7
Variant number: 61,  Outcomes: White win: 32%,  Draw: 40%,  Black win: 27%,  Move 5 Entropy: 6.3,  Move 10 Entropy: 14.4,  Move 20 Entropy: 25.2
Variant number: 62,  Outcomes: White win: 32%,  Draw: 47%,  Black win: 21%,  Move 5 Entropy: 8.7,  Move 10 Entropy: 12.0,  Move 20 Entropy: 19.3
Variant number: 63,  Outcomes: White win: 31%,  Draw: 48%,  Black win: 21%,  Move 5 Entropy: 9.1,  Move 10 Entropy: 9.4,  Move 20 Entropy: 18.8
Variant number: 64,  Outcomes: White win: 36%,  Draw: 37%,  Black win: 27%,  Move 5 Entropy: 8.1,  Move 10 Entropy: 11.1,  Move 20 Entropy: 18.3
